kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Pouzolzia,Pouzolzia zeylanica,18.40493,72.93797,0.8491620111731844,0.543859649122807,0.7708333333333334,0.1440584643107418,0.7142857142857143,0.808,0.3343023255813953,0.8100961538461539,0.8469827586206896,0.7431506849315068,0.8769230769230769,0.1201758671226184,0.0631494804156674,0.0256410256410256,0.3511450381679389,0.0813812600969305,0.044280442804428,0.0482855143456962,0.0156185778873818,0.0819913865742908,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1601496725912067,0.7644579590832071
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Withania,Withania somnifera,27.789738,76.211845,0.9348958333333334,0.616822429906542,0.4,0.3749073387694588,0.968847352024922,0.7867924528301887,0.6574074074074074,0.8375,0.811284046692607,0.961783439490446,0.8767967145790554,0.1753539754162128,0.167076167076167,0.0227272727272727,0.6825396825396826,0.1833902647309991,0.0591397849462365,0.0508270676691729,0.0027173913043478,0.1149174397219022,0.7590361501156876,0.7228915496529372,0.6666666666666666,0.3846153846153846,0.0544510120007164,0.7709548337339703
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus micranthus,26.091547,76.491866,0.8802228412256268,0.5263157894736842,0.4693877551020408,0.3856222112047595,0.75,0.712,0.5116279069767442,0.9254079254079254,0.7360515021459227,0.8148148148148148,0.8087912087912088,0.2109859154929577,0.1378896882494004,0.0,0.5263157894736842,0.192043618739903,0.084870848708487,0.2119828049435787,0.0047266748869708,0.1684669793188283,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0074557315936626,0.7624520475858018
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Nicandra,Nicandra physalodes,25.573056,91.925637,0.926208651399491,0.4369747899159664,0.3529411764705882,0.3209727010155594,0.7971830985915493,0.7798861480075902,0.4542857142857143,0.8959660297239915,0.7911646586345381,0.8588235294117647,0.8650306748466258,0.1719948212329449,0.1352533722201968,0.0388888888888888,0.5621301775147929,0.1488673139158576,0.0702614379084967,0.0897484040555764,0.0089546022490628,0.1382026274497738,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0029411764705882,0.7654668699744817
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactyloctenium,Dactyloctenium aegyptium,21.800556,69.629105,0.7977099236641222,0.6355140186915887,0.3111111111111111,0.4398721122112211,0.8827586206896552,0.6379310344827587,0.7068403908794788,0.8333333333333334,0.6036036036036037,0.8274509803921568,0.7513227513227513,0.1167579630756745,0.1352154531946508,0.0930232558139534,0.7,0.1368577810871183,0.1648936170212765,0.0283701447067783,0.0100698725852856,0.0873759434471901,0.9156626180703354,0.0,0.6666666666666666,0.0,0.1403789089249029,0.7883078854320561
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,Cassia fistula,21.040982,75.570757,0.9498607242339832,0.2017543859649122,0.9387755102040816,0.0458106098165592,0.691358024691358,0.96,0.0959302325581395,0.8651162790697674,0.9271948608137044,0.8120805369127517,0.9868131868131867,0.4587542087542087,0.2922647527910685,0.2307692307692307,0.3925925925925926,0.3704449365814375,0.3579335793357933,0.1507254164427727,0.292642827784628,0.3183643665571376,0.8795180750578437,0.9036144370661716,0.6666666666666666,0.6923076923076923,0.0018463810930576,0.775696303796802
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Aeginetia,Aeginetia indica,15.234005,74.616952,0.8683473389355743,0.3303571428571428,0.4791666666666667,0.3017485591481879,0.6647230320699709,0.7625754527162978,0.3313432835820895,0.8797327394209354,0.7583333333333333,0.7884615384615384,0.8245614035087719,0.2898222574436771,0.2428571428571428,0.0212765957446808,0.4436090225563909,0.2581721147431621,0.1293532338308457,0.246803900325027,0.005411030176899,0.2849925905967937,0.8795180750578437,0.9036144370661716,0.6666666666666666,0.6923076923076923,0.0071112515802781,0.7595170162387351
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,19.075697,72.847775,0.8007662835249042,0.7757009345794392,0.3555555555555555,0.630259900990099,0.873015873015873,0.5763546798029556,0.7947882736156352,0.9178403755868544,0.640625,0.8609865470852018,0.6693121693121693,0.0852099817407182,0.1092124814264487,0.1627906976744186,0.6153846153846154,0.0960536113179449,0.3191489361702128,0.067022086824067,0.021167283189478,0.0684684128478599,0.7710843311198514,0.8313252935909295,0.6666666666666666,0.6923076923076923,0.0934421615536166,0.7781450202898911
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tagetes,Tagetes minuta,22.204181,82.724135,0.8140703517587939,0.3137254901960784,0.8863636363636364,0.0251424081712826,0.3846153846153846,0.8885793871866295,0.1137724550898203,0.835195530726257,0.7582938388625592,0.4496124031007752,0.8978978978978979,0.3628576990461358,0.2071823204419889,0.7096774193548387,0.247787610619469,0.22090203685742,0.5128205128205128,0.1894923258559622,0.0742574257425742,0.3735703409935909,0.5783132627024533,0.5783132627024533,0.6666666666666666,0.3846153846153846,0.2145251396648044,0.7782921421027591
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cajanus,Cajanus cajan,16.440001,80.790001,0.9185750636132316,0.6491228070175439,0.2794117647058823,0.4845745176624103,0.963276836158192,0.7319391634980988,0.6942857142857143,0.9053763440860216,0.8895582329317269,0.9352941176470588,0.820040899795501,0.0969413171266314,0.1051094890510948,0.0111111111111111,0.7328767123287672,0.1123049749779216,0.0310457516339869,0.022923712889891,0.0066638900458142,0.0730701781374027,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0328719723183391,0.7798019196364394
