kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cicer,Cicer arietinum,27.67,75.68,0.6410958904109589,0.2920353982300885,0.2205882352941176,0.4348028707242054,0.5288753799392097,0.6,0.4727793696275071,0.7161290322580646,0.6464646464646465,0.5806451612903226,0.6165254237288136,0.1265318322207831,0.1262773722627737,0.0666666666666666,0.4589041095890411,0.1108330880188401,0.1454248366013072,0.0954528372792183,0.0372761349437734,0.1395517103359093,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.3141916605705925,0.7805453286274592
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Nicandra,Nicandra physalodes,30.283005,79.55113,0.5910364145658263,0.4196428571428571,0.3958333333333333,0.4219134890136959,0.5131195335276968,0.5674044265593562,0.4656716417910447,0.6823266219239373,0.6,0.532051282051282,0.5789473684210527,0.1708317313853646,0.1363265306122449,0.2978723404255319,0.3684210526315789,0.1391706709378893,0.5422885572139303,0.1282177004167688,0.0409989594172736,0.2059632943920975,0.6024096247107811,0.6144578057149449,1.0,0.2307692307692307,0.3002528445006321,0.7613805201772929
Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium japonicum,22.56263,88.36304,0.9336609336609336,0.055045871559633,0.6666666666666666,0.0217244179750947,0.6982097186700768,0.9650582362728786,0.0332594235033259,0.8422222222222222,0.9319727891156464,0.8071625344352618,0.978798586572438,0.3160322952710496,0.2186394022807707,0.0344827586206896,0.3511450381679389,0.233224856655819,0.1864406779661017,0.1918951132300357,0.031442663378545,0.2965670093369801,0.5662650242480307,0.5903614437066171,0.6666666666666666,0.7692307692307693,0.010523438567719,0.8202935040430763
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna trilobata,16.2833,79.3167,0.869942196531792,0.6238532110091743,0.46,0.3196411709159584,0.8719512195121951,0.7354838709677419,0.5805471124620061,0.834061135371179,0.7171717171717171,0.8511326860841424,0.8329571106094809,0.1405904800160674,0.1476190476190476,0.1707317073170731,0.6106870229007634,0.1518107908351811,0.1127450980392156,0.0456259426847662,0.0047896709704289,0.1001417827641474,0.7590361501156876,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.118202416918429,0.8028323546188828
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus oleraceus,20.707778,76.994722,0.8625954198473282,0.7142857142857143,0.3088235294117647,0.4391130159321718,0.9154929577464788,0.6806083650190115,0.7257142857142858,0.8394004282655246,0.9497991967871486,0.8705882352941177,0.7975460122699386,0.1302659097699432,0.1604083120670798,0.0388888888888888,0.834319526627219,0.1590173580464842,0.0506535947712418,0.0242208036049568,0.0079133694294044,0.0934836784296834,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0965397923875432,0.8115527023078237
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Beta,Beta vulgaris,28.529035,77.336123,0.8753180661577609,0.4201680672268907,0.3823529411764705,0.3426814497344638,0.6985915492957746,0.7438330170777988,0.4085714285714286,0.8959660297239915,0.748995983935743,0.8176470588235294,0.8220858895705522,0.2040633403047505,0.1396281443674808,0.0611111111111111,0.4852071005917159,0.1593115622241835,0.0784313725490196,0.203342095381149,0.0099958350687213,0.1958896101898286,0.6144578057149449,0.6024096247107811,0.6666666666666666,0.3846153846153846,0.0155709342560553,0.7942423811661904
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Crotalaria,Crotalaria pallida,22.5667,88.2833,0.7764127764127764,0.3027522935779816,0.5151515151515151,0.119044396318354,0.6051873198847262,0.8186356073211315,0.1862527716186252,0.6545454545454545,0.8299319727891157,0.6463022508038585,0.8409893992932862,0.6165063933213568,0.9889196675900276,0.0,0.946153846153846,0.770956684325335,0.0305084745762711,0.0153723298063485,1.0,0.428896999059716,0.5903614437066171,0.6024096247107811,0.6666666666666666,0.2307692307692307,0.2413671599718111,0.8356463335322248
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,21.21623,77.50699,0.8888888888888888,0.616822429906542,0.4772727272727273,0.2806311881188119,0.8492063492063492,0.7635467980295566,0.5276872964169381,0.8474178403755869,0.740625,0.8295964125560538,0.8703703703703703,0.0705011158449989,0.0594353640416047,0.0697674418604651,0.4769230769230769,0.0705882352941176,0.0904255319148936,0.0253236862147753,0.0059597205096588,0.0442204695241476,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1564874753729243,0.7976318708772662
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia hirta,10.585678,78.20415,0.8184357541899442,0.3859649122807017,0.7916666666666666,0.0957052758033837,0.6234567901234568,0.818,0.2383720930232558,0.7785547785547785,0.8283261802575107,0.684931506849315,0.8681318681318682,0.1280154390479253,0.065947242206235,0.0512820512820512,0.2706766917293233,0.0636106623586429,0.077490774907749,0.0622804215905461,0.0207562679819153,0.120600090530899,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1693171188026192,0.7998394131962315
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Pseudobombax,Pseudobombax ellipticum,12.911619,77.598699,0.9444444444444444,0.7321428571428571,0.4666666666666667,0.3508431272355646,0.9936507936507936,0.7751196172248804,0.6537216828478964,0.9251870324189526,0.8026315789473685,0.9715302491103204,0.8812664907651715,0.1188303222201527,0.0975124378109452,0.073170731707317,0.6356589147286822,0.1126727570859686,0.0797872340425532,0.0432847896440129,0.0057755775577557,0.0605713691002757,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0550327332242225,0.8137070239744911
